comment,groundtruth
"I was almost done with the update, the progress bar had finished, and then suddenly the device just started spinning and displaying a blank screen. I'm not sure what happened, but I'm really disappointed that the update failed. [Sad emoji, Sad emoji, Sad emoji]",Update failure
"Scratches, peeling paint, dust in the lens... The product quality seems to have gone downhill. #smartphone",Poor manufacturing quality
"My phone has been having issues lately, frequently freezing up and becoming completely unresponsive. It's really been affecting the user experience. Sometimes it even restarts on its own before I have a chance to do anything, which is just baffling. I'm not sure if it's a system problem, and I don't know how to fix it. It's feeling more and more difficult to use. I hope the manufacturer can address this problem quickly, otherwise I may have to consider getting a new phone.",Device freezing
"After the update, WeChat often crashes and some apps won't even open. It's really frustrating.",App crashes
"The connectivity issues with this phone are really giving me a headache. It's just not stable at all. Every time I get in the car, I have to worry about whether my phone will connect, it's such a hassle. Other brands don't seem to have this problem, and I'm really not satisfied with it. I hope they can fix this issue as soon as possible, otherwise I might consider switching to a different brand of phone.",CarPlay connection failure
"My phone has been having issues lately, the charging is unstable and it keeps cutting out. I've almost missed important things a few times now. I'm really frustrated and don't know what to do, I feel like there's something wrong with my phone. I'm not sure if it's because I used a different charger before, I hope the after-sales service can help me figure it out and solve the problem quickly. I'm so dependent on my phone, if there's any major issue, that would be such a hassle.","Third-party charger, data cable incompatibility"
"When using the in-car infotainment system to play music, the connection to the system keeps failing. This issue occurs regardless of whether I'm using the default music app or a third-party one. The system crashes and disconnects while I'm trying to play music through the in-car display. This is a frustrating problem that needs to be addressed.",CarPlay connection failure
"I've noticed my phone's battery seems to be draining a bit faster since updating to the latest software version. A few issues I've encountered:

1. Previously, my battery would last around 30% in the morning with regular usage, but now it's down to 36% in the same timeframe.
2. There have been instances where the screen becomes unresponsive, and I have to return to the home screen and reopen the app to resolve it.
3. I've already turned off the 5G connectivity, but the phone still seems to be automatically switching to 5G networks.

Let me know if anyone else has experienced similar problems and if you have any effective solutions to share. I'd appreciate any insights or advice.",Fast battery drain
Why can't my device be updated to the latest software version yet?! [angry_emoji][angry_emoji][angry_emoji] #software_update,Update delay
"The update speed of this phone is really slow, it's always a few versions behind others, it feels like I've been neglected. I can't wait to use the latest features, I hope the company can pay attention to this issue and push updates faster. Overall, this phone is still not bad, it's just the updates are a bit slow.",Slow update
"The process of switching to a new phone has become increasingly frustrating. I expected the data migration to take about 20 minutes, but it actually took over an hour to fully sync. Additionally, a large number of apps, including messaging and authentication apps, were unable to automatically transfer their configurations. The entire process of getting set up on the new device took around 3.5 hours before I could use it with the same experience as my old phone. This is completely unacceptable. [sad emojis]",Slow or failed data migration
The new system drains the battery way too fast! Way too fast!,Fast battery drain
"I recently tested using a Huawei charger to charge my new smartphone, and found that it did not work. After getting my new device, I tried using a Huawei USB-A charger, but it was unable to charge my phone. However, chargers from other brands like Xiaomi and Oppo worked fine.

I contacted the customer support of both Apple and Huawei about this issue. Both companies advised using the original charging equipment provided with the device, as using incompatible chargers can potentially damage the battery or pose safety risks.

When asked if the charging issue was related to the PD (Power Delivery) protocol, Apple said they haven't provided any official statements on that, and reiterated the recommendation to use the original charger. Huawei also stated that the charging compatibility depends on the specifications of the phone.","Third-party charger, data cable incompatibility"
Should I return the product if my family members' screens are turning red? #apple13,Screen color deviation
"I've been using this phone for half a year now, and I've been experiencing some strange issues lately. Sometimes, some of the commonly used apps just won't work properly, which is really frustrating. What's the problem with the system of this phone? I hope the manufacturer can solve these compatibility problems as soon as possible, so that we users can have a smoother experience.",Third-party app incompatibility
"My phone has been acting a bit strange lately, and I'm not sure if there's an issue with it. When I use it, I often feel like it's getting a bit warm, and it also seems like the standby time has become shorter. I'm not sure if it's just my imagination, but has anyone else experienced something similar? I hope the manufacturer can address this problem soon, otherwise I may have to consider getting a new phone.",Overheating
"The night shots from this phone seem to have improved a bit, but the ghostly effects are still there [doge] http://t.cn/A6MMhHny",Camera lens glare
"This phone is really weird, I just don't feel comfortable using it, and it keeps having issues. It feels a bit not so great to use, I'm not sure if it's my problem or not, but it's really been a struggle to use. I'm not sure if it's because my usage posture is not right, but I just can't get used to it. Hopefully they can improve it in the future, otherwise I might need to switch to a new one.",User interface errors
"The blue color easily shows fingerprints, but otherwise it's a good product. Overall, it's a five-star rating.",Easily retains fingerprints
"I've been unable to update the operating system on my device, despite checking the network connection. The update process consistently fails to verify and install the latest version.",Update failure
"The device is more smooth compared to the previous generation. The appearance is not significantly different. The camera functionality has been enhanced, improving the previous generation's issue with close-range autofocus, allowing for better video capture. However, the issue with ghosting/flare persists. If you don't play games, the camera can get quite hot after prolonged use. The most satisfying aspect is the packaging, which is more aesthetically pleasing than the device itself.",Camera lens glare
"In areas with a strong light source, a linear light flare appears. Taking photos is still very dependent on the angle. (The camera lens was cleaned before taking the photo.) #photography #lighting #glare",Camera lens glare
"My phone keeps restarting on its own, and sometimes it suddenly turns off, which is really frustrating. This issue has been going on for several days, and I have no idea what's causing it or how to fix it. I hope the manufacturer can quickly identify the problem and give us a satisfactory solution. I've already consulted with the repair shop, but they don't have a definitive answer either. I hope this problem can be resolved as soon as possible, or else I might have to get a new phone.","Automatic restart, shutdown"
"This phone's screen has some issues. The colors always seem a bit off, and sometimes it feels a bit distorted. It's not very comfortable to use. I hope the manufacturer can address this problem soon. Otherwise, I may have to consider getting a different phone.",Screen color deviation
"The signal on this phone is just terrible, it keeps cutting in and out. Even making a simple phone call is unstable, it's so frustrating. I'm not sure what the issue is, whether it's a problem with the phone or the network. Either way, using such an unreliable phone is just driving me crazy. I can't stand it.",Weak signal
"After updating to the latest version, the signal has been weak. It was fine before the update, but now it's like this. #SystemUpdate #NewFeatures",Weak signal
